x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	5.025990e-006	1.660711e-035
5.000000	2.385924	-3.337576	0.000000	3.222207e-007	2.064454e-037
10.000000	2.275015	-3.448485	0.000000	1.109906e-005	2.898806e-039
15.000000	2.167272	-3.556228	0.000000	1.727431e-005	4.597486e-041
20.000000	2.062694	-3.660806	0.000000	1.025889e-005	8.235572e-043
25.000000	1.961281	-3.762219	0.000000	4.558381e-007	1.666189e-044
30.000000	1.863031	-3.860469	0.000000	9.230088e-007	3.807125e-046
35.000000	1.767944	-3.955556	0.000000	1.122894e-005	9.824218e-048
40.000000	1.676019	-4.047481	0.000000	4.636172e-005	2.862944e-049
45.000000	1.587255	-4.136245	0.000000	6.340872e-004	9.421680e-051
50.000000	1.501651	-4.221849	0.000000	8.239432e-003	3.501317e-052
55.000000	1.419206	-4.304294	0.000000	9.626349e-002	1.469298e-053
60.000000	1.339921	-4.383579	0.000000	1.011496e+000	6.962292e-055
65.000000	1.263793	-4.459707	0.000000	9.581536e+000	3.725181e-056
70.000000	1.190823	-4.532677	0.000000	8.199346e+001	2.250532e-057
75.000000	1.121010	-4.602490	0.000000	6.355449e+002	1.535170e-058
80.000000	1.054354	-4.669146	0.000000	4.474056e+003	1.182369e-059
85.000000	0.990854	-4.732646	0.000000	2.867335e+004	1.028174e-060
90.000000	0.930509	-4.792991	0.000000	1.675954e+005	1.009466e-061
95.000000	0.873320	-4.850180	0.000000	8.944108e+005	1.118979e-062
100.000000	0.819285	-4.904215	0.000000	4.360282e+006	1.400403e-063
105.000000	0.768406	-4.955094	0.000000	1.941820e+007	1.978706e-064
110.000000	0.720681	-5.002819	0.000000	7.898136e+007	3.156489e-065
115.000000	0.676111	-5.047389	0.000000	2.933065e+008	5.684871e-066
120.000000	0.634695	-5.088805	0.000000	9.941511e+008	1.155925e-066
125.000000	0.596434	-5.127066	0.000000	3.074510e+009	2.653582e-067
130.000000	0.561328	-5.162172	0.000000	8.672867e+009	6.877498e-068
135.000000	0.529377	-5.194123	0.000000	2.230979e+010	2.012456e-068
140.000000	0.500581	-5.222919	0.000000	5.232030e+010	6.648508e-069
145.000000	0.474940	-5.248560	0.000000	1.118395e+011	2.479868e-069
150.000000	0.452455	-5.271045	0.000000	2.178667e+011	1.044348e-069
155.000000	0.433126	-5.290374	0.000000	3.867118e+011	4.965703e-070
160.000000	0.416953	-5.306547	0.000000	6.253571e+011	2.665893e-070
165.000000	0.403938	-5.319562	0.000000	9.212479e+011	1.615991e-070
170.000000	0.394080	-5.329420	0.000000	1.236449e+012	1.106059e-070
175.000000	0.387380	-5.336120	0.000000	1.513994e+012	8.548107e-071
180.000000	0.383840	-5.339660	0.000000	1.710371e+012	7.459748e-071
185.000000	0.383458	-5.340042	0.000000	1.937541e+012	7.351098e-071
190.000000	0.386237	-5.337263	0.000000	3.365997e+012	8.180247e-071
190.100000	0.386292	-5.337208	0.000000	3.449827e+012	8.197751e-071
190.200000	0.386348	-5.337152	0.000000	3.537417e+012	8.215292e-071
190.300000	0.386403	-5.337097	0.000000	3.628933e+012	8.232870e-071
190.400000	0.386459	-5.337041	0.000000	3.724544e+012	8.250486e-071
190.500000	0.386515	-5.336985	0.000000	3.824430e+012	8.268140e-071
190.600000	0.386570	-5.336930	0.000000	3.928776e+012	8.285832e-071
190.700000	0.386626	-5.336874	0.000000	4.037776e+012	8.303562e-071
190.800000	0.386681	-5.336819	0.000000	4.151632e+012	8.321329e-071
190.900000	0.386737	-5.336763	0.000000	4.270557e+012	8.339134e-071
191.000000	0.386792	-5.336708	0.000000	4.394771e+012	8.356978e-071
191.100000	0.386848	-5.336652	0.000000	4.524504e+012	8.374860e-071
191.200000	0.386904	-5.336596	0.000000	4.659996e+012	8.392780e-071
