x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	6.229408e-009	1.660711e-035
2.000000	2.452038	-3.271462	0.000000	1.070814e-010	2.625138e-036
4.000000	2.404583	-3.318917	0.000000	2.435314e-008	4.231331e-037
6.000000	2.357634	-3.365866	0.000000	1.023158e-007	6.954547e-038
8.000000	2.311193	-3.412307	0.000000	1.571303e-007	1.165541e-038
10.000000	2.265258	-3.458242	0.000000	1.008263e-007	1.991835e-039
12.000000	2.219831	-3.503669	0.000000	6.137329e-009	3.470930e-040
14.000000	2.174910	-3.548590	0.000000	4.866292e-008	6.167447e-041
16.000000	2.130496	-3.593004	0.000000	1.430961e-007	1.117460e-041
18.000000	2.086589	-3.636911	0.000000	9.842046e-008	2.064549e-042
20.000000	2.043189	-3.680311	0.000000	8.633704e-009	3.889425e-043
22.000000	2.000295	-3.723205	0.000000	3.626325e-008	7.471582e-044
24.000000	1.957909	-3.765591	0.000000	1.147418e-007	1.463547e-044
26.000000	1.916030	-3.807470	0.000000	1.496359e-007	2.923261e-045
28.000000	1.874657	-3.848843	0.000000	3.483266e-007	5.953818e-046
30.000000	1.833791	-3.889709	0.000000	1.266912e-006	1.236489e-046
32.000000	1.793433	-3.930067	0.000000	4.467210e-006	2.618497e-047
34.000000	1.753581	-3.969919	0.000000	1.517846e-005	5.654324e-048
36.000000	1.714236	-4.009264	0.000000	5.111447e-005	1.245020e-048
38.000000	1.675398	-4.048102	0.000000	1.695285e-004	2.795366e-049
40.000000	1.637066	-4.086434	0.000000	5.508751e-004	6.399826e-050
42.000000	1.599242	-4.124258	0.000000	1.754602e-003	1.494048e-050
44.000000	1.561925	-4.161575	0.000000	5.481070e-003	3.556540e-051
46.000000	1.525114	-4.198386	0.000000	1.679338e-002	8.632921e-052
48.000000	1.488811	-4.234689	0.000000	5.047434e-002	2.136756e-052
50.000000	1.453014	-4.270486	0.000000	1.488594e-001	5.392856e-053
52.000000	1.417724	-4.305776	0.000000	4.308961e-001	1.387873e-053
54.000000	1.382941	-4.340559	0.000000	1.224563e+000	3.642063e-054
56.000000	1.348665	-4.374835	0.000000	3.417663e+000	9.745680e-055
58.000000	1.314896	-4.408604	0.000000	9.370182e+000	2.659156e-055
60.000000	1.281633	-4.441867	0.000000	2.524469e+001	7.398476e-056
62.000000	1.248878	-4.474622	0.000000	6.685396e+001	2.098977e-056
64.000000	1.216629	-4.506871	0.000000	1.740799e+002	6.072116e-057
66.000000	1.184888	-4.538612	0.000000	4.458193e+002	1.791181e-057
