x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	5.748130e-006	1.660711e-035
5.000000	2.388016	-3.335484	0.000000	2.472649e-005	2.237444e-037
10.000000	2.279200	-3.444300	0.000000	1.437351e-005	3.405089e-039
15.000000	2.173552	-3.549948	0.000000	1.157723e-005	5.853600e-041
20.000000	2.071072	-3.652428	0.000000	3.347479e-005	1.136674e-042
25.000000	1.971760	-3.751740	0.000000	5.157251e-007	2.493256e-044
30.000000	1.875616	-3.847884	0.000000	1.695228e-007	6.177546e-046
35.000000	1.782640	-3.940860	0.000000	4.708092e-005	1.728954e-047
40.000000	1.692833	-4.030667	0.000000	1.196367e-005	5.465992e-049
45.000000	1.606193	-4.117307	0.000000	1.426205e-004	1.951969e-050
50.000000	1.522722	-4.200778	0.000000	1.831166e-003	7.873990e-052
55.000000	1.442418	-4.281082	0.000000	2.100569e-002	3.587857e-053
60.000000	1.365283	-4.358217	0.000000	2.160761e-001	1.846688e-054
65.000000	1.291315	-4.432185	0.000000	1.992468e+000	1.073669e-055
70.000000	1.220516	-4.502984	0.000000	1.649527e+001	7.051235e-057
75.000000	1.152885	-4.570615	0.000000	1.228792e+002	5.230922e-058
80.000000	1.088422	-4.635078	0.000000	8.259666e+002	4.383385e-059
85.000000	1.027127	-4.696373	0.000000	5.025072e+003	4.149150e-060
90.000000	0.969000	-4.754500	0.000000	2.775196e+004	4.436361e-061
95.000000	0.914041	-4.809459	0.000000	1.394672e+005	5.358125e-062
100.000000	0.862250	-4.861250	0.000000	6.388580e+005	7.309994e-063
105.000000	0.813627	-4.909873	0.000000	2.669782e+006	1.126521e-063
110.000000	0.768172	-4.955328	0.000000	1.018125e+007	1.961011e-064
115.000000	0.725886	-4.997614	0.000000	3.542690e+007	3.856016e-065
120.000000	0.686767	-5.036733	0.000000	1.124490e+008	8.564772e-066
125.000000	0.650817	-5.072683	0.000000	3.254910e+008	2.148874e-066
130.000000	0.618034	-5.105466	0.000000	8.589393e+008	6.090101e-067
135.000000	0.588420	-5.135080	0.000000	2.065940e+009	1.949648e-067
140.000000	0.561973	-5.161527	0.000000	4.528033e+009	7.050274e-068
145.000000	0.538695	-5.184805	0.000000	9.041824e+009	2.879878e-068
150.000000	0.518585	-5.204915	0.000000	1.644704e+010	1.328802e-068
155.000000	0.501643	-5.221857	0.000000	2.724872e+010	6.925720e-069
