x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	2.203555e-006	1.660711e-035
5.000000	2.393053	-3.330447	0.000000	1.161545e-006	2.715779e-037
10.000000	2.289273	-3.434227	0.000000	2.364340e-006	5.016436e-039
15.000000	2.188660	-3.534840	0.000000	4.511698e-006	1.046595e-040
20.000000	2.091211	-3.632289	0.000000	1.604262e-006	2.466195e-042
25.000000	1.996926	-3.726574	0.000000	1.800125e-006	6.563324e-044
30.000000	1.905803	-3.817697	0.000000	4.346596e-006	1.972654e-045
35.000000	1.817843	-3.905657	0.000000	1.011704e-005	6.695643e-047
40.000000	1.733043	-3.990457	0.000000	2.871438e-005	2.566442e-048
45.000000	1.651404	-4.072096	0.000000	3.560828e-005	1.110843e-049
50.000000	1.572923	-4.150577	0.000000	2.348471e-005	5.429267e-051
55.000000	1.497601	-4.225899	0.000000	2.879813e-004	2.996279e-052
60.000000	1.425436	-4.298064	0.000000	2.898754e-003	1.867077e-053
65.000000	1.356427	-4.367073	0.000000	2.699163e-002	1.313615e-054
70.000000	1.290574	-4.432926	0.000000	2.246928e-001	1.043489e-055
75.000000	1.227877	-4.495623	0.000000	1.663429e+000	9.358584e-057
80.000000	1.168334	-4.555166	0.000000	1.094372e+001	9.475991e-058
85.000000	1.111944	-4.611556	0.000000	6.399458e+001	1.083233e-058
90.000000	1.058709	-4.664791	0.000000	3.329476e+002	1.397957e-059
95.000000	1.008626	-4.714874	0.000000	1.544308e+003	2.036729e-060
100.000000	0.961696	-4.761804	0.000000	6.405231e+003	3.349913e-061
105.000000	0.917919	-4.805581	0.000000	2.384934e+004	6.219991e-062
110.000000	0.877293	-4.846207	0.000000	8.006834e+004	1.303761e-062
115.000000	0.839820	-4.883680	0.000000	2.434015e+005	3.085003e-063
120.000000	0.805498	-4.918002	0.000000	6.722699e+005	8.240637e-064
125.000000	0.774329	-4.949171	0.000000	1.690690e+006	2.484923e-064
130.000000	0.746311	-4.977189	0.000000	3.875200e+006	8.458882e-065
135.000000	0.721445	-5.002055	0.000000	8.096232e+006	3.250593e-065
140.000000	0.699731	-5.023769	0.000000	1.541471e+007	1.410149e-065
145.000000	0.681170	-5.042330	0.000000	2.673984e+007	6.905960e-066
150.000000	0.665761	-5.057739	0.000000	4.225735e+007	3.818082e-066
155.000000	0.653506	-5.069994	0.000000	6.083214e+007	2.383060e-066
160.000000	0.644404	-5.079096	0.000000	7.976587e+007	1.679193e-066
165.000000	0.638456	-5.085044	0.000000	9.526258e+007	1.335829e-066
170.000000	0.635663	-5.087837	0.000000	1.036164e+008	1.199762e-066
175.000000	0.636025	-5.087475	0.000000	1.026418e+008	1.216589e-066
180.000000	0.639543	-5.083957	0.000000	9.263723e+007	1.392863e-066
185.000000	0.646218	-5.077282	0.000000	7.689299e+007	1.800533e-066
190.000000	0.656050	-5.067450	0.000000	6.799386e+007	2.628060e-066
190.100000	0.656247	-5.067253	0.000000	6.835945e+007	2.648012e-066
190.200000	0.656444	-5.067056	0.000000	6.876636e+007	2.668115e-066
