n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
1.000000000000000000e+16,2.008719176744317849e+02,2.056448936893773451e+07,7.185169214507701690e+04,1.462029169266754761e+05,4.477215326450918838e+02,8.932468292012561035e+10,1.221448670310508925e+06,3.672230244453167529e+02,2.912295847877583667e+19,4.477215326450919406e+02
1.099099099099099200e+16,2.133211693912656699e+02,2.369589997648865357e+07,8.019602019770668994e+04,1.684656318769726786e+05,4.338394403023950758e+02,8.932468292012561035e+10,9.601944056257476332e+05,4.231410710087259304e+02,2.912295847877583667e+19,4.338394403023950758e+02
1.198198198198198200e+16,2.238964579606846712e+02,2.697186165457976609e+07,8.870451149290395551e+04,1.917560304122448433e+05,4.215331763731662704e+02,8.932468292012561035e+10,7.725288833130741259e+05,4.816403866889242522e+02,2.912295847877583667e+19,4.215331763731662704e+02
1.297297297297297200e+16,2.328062225005656103e+02,3.038625653930388764e+07,9.737055139149163733e+04,2.160306176743145916e+05,4.105141619156727302e+02,8.932468292012561035e+10,6.337507837013900280e+05,5.426117239161405905e+02,2.912295847877583667e+19,4.105141619156727870e+02
1.396396396396396400e+16,2.402551170127744911e+02,3.393368384046562761e+07,1.061882938604002993e+05,2.412509968293921556e+05,4.005638401925444327e+02,8.932468292012561035e+10,5.285771251256418182e+05,6.059586400083148874e+02,2.912295847877583667e+19,4.005638401925444327e+02
1.495495495495495600e+16,2.464345711957480489e+02,3.760932977153129131e+07,1.151525224764469313e+05,2.673829443370790104e+05,3.915130825011171964e+02,8.932468292012561035e+10,4.471813900849661441e+05,6.715951744916304733e+02,2.912295847877583667e+19,3.915130825011171964e+02
1.594594594594594600e+16,2.515181966814624843e+02,4.140886830526582897e+07,1.242585443225350464e+05,2.943957043741151574e+05,3.832285764377550095e+02,8.932468292012561035e+10,3.830346696234364063e+05,7.394440768797471719e+02,2.912295847877583667e+19,3.832285764377550663e+02
1.693693693693693600e+16,2.556602346825786753e+02,4.532838395062182844e+07,1.335021073896648595e+05,3.222614398178728297e+05,3.756035528413179350e+02,8.932468292012561035e+10,3.316744109496632009e+05,8.094354276896757483e+02,2.912295847877583667e+19,3.756035528413179350e+02
1.792792792792792800e+16,2.589958042457680563e+02,4.936431063869261742e+07,1.428793351799569209e+05,3.509547977569931536e+05,3.685513015236619481e+02,8.932468292012561035e+10,2.899741347384375986e+05,8.815055471195111068e+02,2.912295847877583667e+19,3.685513015236619481e+02
1.891891891891892000e+16,2.616421340768611117e+02,5.351338263753310591e+07,1.523866741582534451e+05,3.804525605210683425e+05,3.620005328438908236e+02,8.932468292012561035e+10,2.556952790474980720e+05,9.555961185273770297e+02,2.912295847877583667e+19,3.620005328438908236e+02
1.990990990990991200e+16,2.637002609300683389e+02,5.777259461216178536e+07,1.620208509754292318e+05,4.107333617278480669e+05,3.558919926910776326e+02,8.932468292012561035e+10,2.272038316737274872e+05,1.031653475217174901e+03,2.912295847877583667e+19,3.558919926910776326e+02
2.090090090090090000e+16,2.652568809001740533e+02,6.213916874868001044e+07,1.717788372422865068e+05,4.417774525526777725e+05,3.501759480164320735e+02,8.932468292012561035e+10,2.032863551581221400e+05,1.109628013369286009e+03,2.912295847877583667e+19,3.501759480164320735e+02
2.189189189189189200e+16,2.663861730788551085e+02,6.661052741265011579e+07,1.816578202207894938e+05,4.735665073436626117e+05,3.448102892516722022e+02,8.932468292012561035e+10,1.830276925298638816e+05,1.189473703797323424e+03,2.912295847877583667e+19,3.448102892516722022e+02
2.288288288288288400e+16,2.671514995298639406e+02,7.118427019839245081e+07,1.916551782116974937e+05,5.060834604540042928e+05,3.397590777783727845e+02,8.932468292012561035e+10,1.657279367909253342e+05,1.271147682114150939e+03,2.912295847877583667e+19,3.397590777783727845e+02
2.387387387387387200e+16,2.676069374996913552e+02,7.585815450199840963e+07,2.017684597122976556e+05,5.393123681261372985e+05,3.349914197061377763e+02,8.932468292012561035e+10,1.508449722713156370e+05,1.354609901821400399e+03,2.912295847877583667e+19,3.349914197061377763e+02
2.486486486486486400e+16,2.677986305673162519e+02,8.063007895145885646e+07,2.119953656320244772e+05,5.732382906884867698e+05,3.304805824210825449e+02,8.932468292012561035e+10,1.379540182582612615e+05,1.439822838418907850e+03,2.912295847877583667e+19,3.304805824210825449e+02
2.585585585585585600e+16,2.677659627706494803e+02,8.549806917526946962e+07,2.223337340116424020e+05,6.078471913775883149e+05,3.262032941695713930e+02,8.932468292012561035e+10,1.267186913037754857e+05,1.526751235272669192e+03,2.912295847877583667e+19,3.262032941695713930e+02
2.684684684684684800e+16,2.675425687385323954e+02,9.046026550151291490e+07,2.327815268099444802e+05,6.431258488849058049e+05,3.221391833258682027e+02,8.932468292012561035e+10,1.168700059841204493e+05,1.615361883955587700e+03,2.912295847877583667e+19,3.221391833258682027e+02
2.783783783783784000e+16,2.671571968153911598e+02,9.551491226319979131e+07,2.433368184111340961e+05,6.790617813233180204e+05,3.182703254534424673e+02,8.932468292012561035e+10,1.081909332070529344e+05,1.705623433271425711e+03,2.912295847877583667e+19,3.182703254534424673e+02
2.882882882882882800e+16,2.666344431940706841e+02,1.006603484498237222e+08,2.539977855749130249e+05,7.156431797644963954e+05,3.145808744071142655e+02,8.932468292012561035e+10,1.005049057921475469e+05,1.797506222318281061e+03,2.912295847877583667e+19,3.145808744071142655e+02
2.981981981981982000e+16,2.659953744826181605e+02,1.058949994947677404e+08,2.647626986041408381e+05,7.528588498515976826e+05,3.110567595802868937e+02,8.932468292012561035e+10,9.366716519908524060e+04,1.890982133835138711e+03,2.912295847877583667e+19,3.110567595802868937e+02
3.081081081081081200e+16,2.652580547238458166e+02,1.112173700270362198e+08,2.756299135465204599e+05,7.906981602678146446e+05,3.076854356706698468e+02,8.932468292012561035e+10,8.755817860486423888e+04,1.986024464768504004e+03,2.912295847877583667e+19,3.076854356706698468e+02
3.180180180180180000e+16,2.644379911389346489e+02,1.166260374464232922e+08,2.865978652795269736e+05,8.291509970591380261e+05,3.044556744861411630e+02,8.932468292012561035e+10,8.207858201066017500e+04,2.082607811543273783e+03,2.912295847877583667e+19,3.044556744861411630e+02
3.279279279279279200e+16,2.635485110514819098e+02,1.221196462056024820e+08,2.976650613538390025e+05,8.682077229829591233e+05,3.013573906592957314e+02,8.932468292012561035e+10,7.714526021311270597e+04,2.180707967957187066e+03,2.912295847877583667e+19,3.013573906592957314e+02
3.378378378378378400e+16,2.626010807144372166e+02,1.276969027021594942e+08,3.088300764913882595e+05,9.078591411930581089e+05,2.983814949064783946e+02,8.932468292012561035e+10,7.268828218050333089e+04,2.280301833967133916e+03,2.912295847877583667e+19,2.983814949064783946e+02
3.477477477477477600e+16,2.616055751818618091e+02,1.333565706993752569e+08,3.200915476510939770e+05,9.480964626837321557e+05,2.955197698104263395e+02,8.932468292012561035e+10,6.864848606968282547e+04,2.381367333917414726e+03,2.912295847877583667e+19,2.955197698104263395e+02
3.576576576576576800e+16,2.605705069684677255e+02,1.390974672073961794e+08,3.314481695889837574e+05,9.889112770070402185e+05,2.927647641357701787e+02,8.932468292012561035e+10,6.497556193492819148e+04,2.483883342989218363e+03,2.912295847877583667e+19,2.927647641357701787e+02
3.675675675675675200e+16,2.595032200253573933e+02,1.449184587669338882e+08,3.428986908507860499e+05,1.030295525851821178e+06,2.901097024831246358e+02,8.932468292012561035e+10,6.162651885511753790e+04,2.587829620838105711e+03,2.912295847877583667e+19,2.901097024831246358e+02
3.774774774774774400e+16,2.584100545198218128e+02,1.508184580862806737e+08,3.544419101441007806e+05,1.072241479134610854e+06,2.875484077081167698e+02,8.932468292012561035e+10,5.856445128354175540e+04,2.693186751540726618e+03,2.912295847877583667e+19,2.875484077081167698e+02
3.873873873873873600e+16,2.572964870237054242e+02,1.567964209895901084e+08,3.660766730452061165e+05,1.114741713303491240e+06,2.850752340188295193e+02,8.932468292012561035e+10,5.575754000436389470e+04,2.799936089099825040e+03,2.912295847877583667e+19,2.850752340188295193e+02
